Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Cost per item,Status
big-brain-academy-wii-degree-wii-pch140273,Big Brain Academy Wii Degree (Wii),,NINTENDO,,Wii,"Wii, Used, STRATEGY, NINTENDO",TRUE,Title,Default Title,,,,,PCH140273,0,shopify,1,deny,manual,5.99,,TRUE,TRUE,,,,,FALSE,,,0.66,active
big-bumpin-xbx-pch127982,Big Bumpin (XBX),,KING GAMES,,XBX,"XBX, Used, RACING, KING GAMES, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH127982,0,shopify,1,deny,manual,4.99,,TRUE,TRUE,,,,,FALSE,,,0.40,active
big-bumpin-xbx-pch139826,Big Bumpin (XBX),,KING GAMES,,XBX,"XBX, Used, RACING, KING GAMES, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH139826,0,shopify,1,deny,manual,4.99,,TRUE,TRUE,,,,,FALSE,,,0.10,active
biggest-loser-ultimate-workout-kinect-x360-pch142620,Biggest Loser Ultimate Workout Kinect (X360),,THQ,,X360,"X360, Used, FITNESS, THQ",TRUE,Title,Default Title,,,,,PCH142620,0,shopify,1,deny,manual,4.99,,TRUE,TRUE,,,,,FALSE,,,0.10,active
big-league-sports-wii-pch4706,Big League Sports (Wii),,ACTIVISION,,Wii,"Wii, Used, SPORTS, ACTIVISION",TRUE,Title,Default Title,,,,,PCH4706,0,shopify,1,deny,manual,7.99,,TRUE,TRUE,,,,,FALSE,,,0.00,active
big-league-sports-kinect-x360-pch147647,Big League Sports Kinect (X360),,ACTIVISION,,X360,"X360, Used, SPORTS, ACTIVISION",TRUE,Title,Default Title,,,,,PCH147647,0,shopify,1,deny,manual,8.99,,TRUE,TRUE,,,,,FALSE,,,0.30,active
big-league-sports-kinect-x360-pch64809,Big League Sports Kinect (X360),,ACTIVISION,,X360,"X360, Used, SPORTS, ACTIVISION",TRUE,Title,Default Title,,,,,PCH64809,0,shopify,1,deny,manual,8.99,,TRUE,TRUE,,,,,FALSE,,,0.39,active
big-mutha-truckers-gba-pch120361,Big Mutha Truckers (GBA),,DESTINATION SOFTWARE,,GBA,"GBA, Used, RACING, DESTINATION SOFTWARE, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH120361,0,shopify,1,deny,manual,8.99,,TRUE,TRUE,,,,,FALSE,,,0.87,active
big-mutha-truckers-ps2-pch117488,Big Mutha Truckers (PS2),,THQ,,PS2,"PS2, Used, RACING, THQ, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH117488,0,shopify,1,deny,manual,9.99,,TRUE,TRUE,,,,,FALSE,,,0.72,active
big-mutha-truckers-ps2-pch144143,Big Mutha Truckers (PS2),,THQ,,PS2,"PS2, Used, RACING, THQ, DISCONTINUED",TRUE,Title,Default Title,,,,,PCH144143,0,shopify,1,deny,manual,9.99,,TRUE,TRUE,,,,,FALSE,,,1.55,active
